4031.01, 840.43, 30.04
821.78, 3247.37, 55.53
2533.93, 946.79, 54.59
2155.89, 1365.95, 31.29
810.06, 3166.03, 70.73
3954.36, 735.97, 21.98
1103.53, 2782.85, 68.78
866.26, 3619.44, 66.67
4496.29, 754.82, 27.21
1349.88, 1972.63, 49.80
3628.42, 725.18, 25.85
2053.74, 1348.04, 40.18
828.58, 3291.91, 73.69
1582.12, 1670.12, 35.74
1179.80, 2101.72, 49.84
3147.28, 775.60, 28.61
790.04, 3723.28, 65.53
2392.37, 1034.69, 49.55
907.04, 3054.34, 70.45
2878.60, 939.06, 34.83
4271.40, 733.88, 30.58
1714.81, 1436.05, 44.20
3337.79, 774.83, 36.15
719.78, 3818.32, 58.97
1096.26, 2560.95, 53.54
947.35, 4272.91, 64.08
4162.77, 826.12, 42.91
1050.30, 2928.81, 69.64
3168.61, 765.88, 53.28
930.10, 3049.11, 58.87
2413.97, 1032.09, 57.59
891.52, 3091.86, 66.65
3610.86, 737.25, 47.92
1548.60, 1733.65, 37.45
779.81, 3763.92, 49.52
902.53, 3445.45, 75.73
4553.25, 787.81, 41.12
995.49, 2972.30, 69.97
1130.76, 2440.83, 63.02
708.21, 3935.65, 61.82
1084.37, 2521.13, 66.29
1606.21, 1631.39, 45.38
1062.44, 2576.60, 55.84
1734.98, 1420.69, 53.50
1063.41, 2915.96, 66.12
1855.74, 1370.16, 36.77
834.54, 3328.99, 76.62
1129.07, 2487.71, 45.37
759.26, 3811.60, 63.53
1083.52, 2879.49, 48.48
3703.26, 695.12, 49.04
871.83, 3635.49, 48.61
2997.61, 837.38, 35.17
4460.39, 732.50, 23.73
3114.79, 772.71, 25.28
3997.90, 778.28, 42.94
2411.32, 1014.48, 28.94
938.76, 4346.72, 53.17
3662.09, 731.66, 36.82
794.65, 3242.09, 69.39
1125.74, 2499.21, 50.47
810.98, 3708.32, 51.30
1447.89, 1912.43, 59.51
1151.46, 2148.18, 43.53
912.27, 4419.13, 65.51
920.51, 3475.82, 68.26
1118.35, 2513.40, 57.44
4487.06, 720.78, 35.95
1513.87, 1804.75, 62.87
4006.50, 800.24, 23.19
880.34, 4435.76, 83.28
2314.07, 1304.93, 32.22
831.10, 3280.91, 63.71
1120.79, 2477.26, 70.87
4238.29, 767.10, 41.67
2057.16, 1371.00, 58.55
4048.53, 852.48, 27.84
2611.98, 966.67, 31.70
1897.30, 1341.17, 45.12
4247.54, 782.52, 34.73
2337.44, 1256.09, 52.27
1189.99, 2343.33, 65.72
1946.88, 1346.84, 34.93
3282.11, 786.37, 48.75
920.34, 3497.47, 50.89
4248.39, 767.51, 20.54
3928.58, 739.76, 42.86
1562.09, 1757.37, 55.85
2449.51, 968.80, 31.65
4359.18, 717.45, 32.55
1159.08, 2430.22, 41.98
1169.04, 2218.32, 69.49
4067.24, 846.89, 46.69
1055.87, 2879.38, 65.66
1325.73, 1965.89, 39.02
956.22, 2998.61, 52.20
3580.30, 770.49, 45.44
4515.70, 767.31, 36.00
782.20, 3742.86, 52.05
2822.70, 982.53, 27.23
758.23, 3812.68, 67.31
2529.37, 925.89, 52.86
1531.16, 1773.52, 38.21
